first_name  last_name     
----------  --------------
Albert      Pujols        
Oliver      Perez         
Yadier      Molina        
Robinson    Cano          
Anibal      Sanchez       
Joe         Smith         
Tyler       Clippard      
Kurt        Suzuki        
Justin      Upton         
Joey        Votto         
Ross        Detwiler      
Darren      O'Day         
Jed         Lowrie        
Sergio      Romo          
Alcides     Escobar       
David       Price         
Mark        Melancon      
Craig       Stammen       
Jhoulys     Chacin        
Michael     Brantley      
Daniel      Hudson        
Cesar       Valdez        
Stephen     Strasburg     
Jason       Castro        
Lorenzo     Cain          
Greg        Holland       
Mike        Minor         
Jake        McGee         
Steve       Cishek        
Zack        Britton       
Michael     Pineda        
Jose        Iglesias      
Dee         Strange-Gordon
Bryan       Shaw          
Robinson    Chirinos      
Manny       Pina          
Arodys      Vizcaino      
Garrett     Richards      
Austin      Romine        
Marwin      Gonzalez      
Stephen     Vogt          
David       Phelps        
Drew        Hutchison     
Wily        Peralta       
Jose        Quintana      
Charlie     Culberson     
Kole        Calhoun       
Andrelton   Simmons       
Sean        Doolittle     
Justin      Grimm         
Dallas      Keuchel       
Tyler       Thornburg     
Chris       Archer        
Anthony     Gose          
Rob         Brantly       
Justin      Wilson        
Didi        Gregorius     
Dylan       Bundy         
Jake        Odorizzi      
Rafael      Ortega        
Hyun Jin    Ryu           
Leury       Garcia        
T. J.       McFarland     
Juan        Lagares       
Robbie      Erlin         
Cesar       Hernandez     
Jose        Alvarez       
Jonathan    Villar        
Matt        Davidson      
Philip      Gosselin      
Max         Stassi        
Abraham     Almonte       
Tim         Beckham       
Roenis      Elias         
Tommy       Kahnle        
Blake       Treinen       
Steven      Souza         
Shane       Greene        
Ender       Inciarte      
Aaron       Brooks        
Pedro       Baez          
Corey       Knebel        
Tyler       Matzek        
Ken         Giles         
Yolmer      Sanchez       
Aaron       Sanchez       
Terrance    Gore          
Cory        Spangenberg   
Hunter      Strickland    
Maikel      Franco        
R. J.       Alvarez       
Daniel      Norris        
Odubel      Herrera       
Archie      Bradley       
Carlos      Rodon         
Kevin       Plawecki      
Hansel      Robles        
Travis      Shaw          
Lance       McCullers     
Wilmer      Difo          
Dixon       Machado       
Michael     Feliz         
Matt        Wisler        
Deven       Marrero       
Manny       Banuelos      
Miguel      Sano          
Noe         Ramirez       
Stephen     Piscotty      
Tyler       Duffey        
Alex        Dickerson     
Kyle        Barraclough   
Shawn       Armstrong     
Dustin      Garneau       
Jerad       Eickhoff      
Frankie     Montas        
Pedro       Severino      
Luis        Perdomo       
Trevor      Story         
Tony        Wolters       
Tyler       Naquin        
Nomar       Mazara        
Ben         Gamel         
J. B.       Wendelken     
Chad        Green         
Alec        Mills         
Colin       Moran         
Jacob       Barnes        
Edwin       Diaz          
Albert      Almora        
Daniel      Mengden       
Tyler       Danish        
